C_MODULAR;CENTRO_EDUCATIVO;NIVEL;TIPO;DIRECCION;DISTRITO;UBIGEO;COORDENADAS;TOTAL
437426;BERTOLT BRECHT;Secundaria;Privada;AVENIDA COLONIAL 2798 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04986,-77.07887;509
435263;BERTOLT BRECHT;Primaria;Privada;AVENIDA COLONIAL 2798 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04986,-77.07887;527
605634;20 SANTA ROSA DE LIMA;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;JIRON JUPITER 680 LA LUZ - LIMA CERCADO;LIMA;150101;-12.06664,-77.07132;339
827642;DIVINO Y SAGRADO CORAZON DE JESUS;Inicial - JardÍn;Privada;JIRON SUECIA 1216 SAN RAFAEL - LIMA CERCADO;LIMA;150101;-12.0494,-77.06061;54
763664;102 HOSPITAL DOS DE MAYO;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;AVENIDA GRAU CUADRA 12 S/N LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.05672,-77.01668;42
331793;INMACULADA VIRGEN DEL TRANSITO;Inicial - JardÍn;Privada;JIRON HUARI 660 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05132,-77.0142;5
335265;14 DIVINA NIÑA MARIA;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;BLOCK A - 11 UNIDAD VECINAL 3 - LIMA CERCADO;LIMA;150101;-12.05148,-77.07845;305
335281;030 SANTA TERESITA DEL DIVINO NIÑO;Inicial - JardÍn;Pública de gesti¢n directa;JIRON JOSE DIAZ 412 SANTA BEATRIZ - LIMA CERCADO;LIMA;150101;-12.06868,-77.03501;220
335299;16 VIRGEN DE LOURDES;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;BLOCK 46-A UNIDAD VECINAL 3 - LIMA CERCADO;LIMA;150101;-12.05413,-77.08195;0
335323;WARMA KUYAY;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;JIRON PEREZ DE TUDELA CDRA 24 S/N MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03603,-77.07264;188
335331;19 EL PLANETA;Inicial - JardÍn;Pública de gesti¢n directa;JIRON DIEGO LA TORRE CDRA 16 S/N EL PLANETA - LIMA CERCADO;LIMA;150101;-12.03782,-77.06353;434
335414;29 ROSA DE SANTA MARIA;Inicial - Cuna-jardÍn;Pública de gesti¢n directa;JIRON ANCASH 1439 JARDIN ROSA DE SANTA MARIA - LIMA CERCADO;LIMA;150101;-12.04463,-77.01423;167
335703;26 NIÑO JESUS DE ATOCHE;Inicial - JardÍn;Pública de gesti¢n directa;JIRON ANTONIO MIROQUESADA 1296 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05313,-77.01749;255
335729;JESUS REPARADOR;Inicial - JardÍn;Privada;JIRON CUZCO 723 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.053,-77.02635;68
335950;NUESTRA SEÑORA DE COCHARCAS;Inicial - JardÍn;Privada;JIRON HUANUCO 942 ALTOS - LIMA CERCADO;LIMA;150101;-12.05531,-77.01851;58
335968;NUESTRA SEÑORA DE LAS MERCEDES;Inicial - JardÍn;Privada;JIRON MAYNAS 540 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04846,-77.01722;61
335976;NUESTRA SEÑORA DEL PRADO;Inicial - JardÍn;Privada;JIRON JUNIN 1411 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05183,-77.01496;39
336222;SANTO ANGEL;Inicial - JardÍn;Privada;JIRON JOSE DIAZ 374 SANTA BEATRIZ - LIMA CERCADO;LIMA;150101;-12.05272,-77.0674;...
466367;21 SAN BENITO DE PALERMO;Inicial - JardÍn;Pública de gesti¢n directa;JIRON LAS FABRICAS CDRA 2 S/N 1 DE SETIEMBRE - LIMA CERCADO;LIMA;150101;-12.0413,-77.0677;224
476655;SAN IGNACIO DE LOYOLA;Inicial - JardÍn;Privada;JIRON SANCHEZ PINILLOS 280 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.0483,-77.04511;31
482323;06 REPUBLICA DE HOLANDA;Inicial - JardÍn;Pública de gesti¢n directa;JIRON CARABAYA 1171 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.05526,-77.03562;296
496604;SANTA TERESA DE JESUS;Inicial - JardÍn;Privada;JIRON OROPESA 180 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05101,-77.01181;26
503714;1037 RAMON ESPINOZA;Inicial - JardÍn;Pública de gesti¢n directa;JIRON ANCASH 1254 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04673,-77.01667;133
509729;SEÑOR DE LA MISERICORDIA;Inicial - JardÍn;Privada;JIRON JUNIN 1458 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05193,-77.01502;76
524793;1152-108 DOS DE MAYO;Inicial - JardÍn;Pública de gesti¢n directa;JIRON GENERAL BUENDIA 519 2 DE MAYO - LIMA CERCADO;LIMA;150101;-12.03669,-77.05004;117
526095;1153 REPUBLICA DE CANADA;Inicial - JardÍn;Pública de gesti¢n directa;AVENIDA MORALES DUAREZ 342 1 DE MAYO - LIMA CERCADO;LIMA;150101;-12.03806,-77.04818;194
