EESS;RIS;COD_EESS;DISTRITO;POBLACION;COORDENADAS;DIRECCION
C.S. MIRONES;RIS 1;6192;PUEBLO LIBRE, LIMA;48010;-12.0509882,-77.0673543;AVENIDA LUIS BRAYLE 13 LIMA LIMA LIMA 
C.S. SAN SEBASTIAN;RIS 1;6191;LIMA;25534;-12.0428657,-77.0387974;JIRÓN JR. ICA 774-778 JR. ICA 774-778 LIMA LIMA LIMA 
C.S. MIRONES BAJO;RIS 1;6187;LIMA;23691;-12.0359928,-77.0722189;JIRÓN JR. BRUNO TERREROS 144 JR. BRUNO TERREROS 144 LIMA LIMA LIMA 
C.S. JUAN PEREZ CARRANZA;RIS 1;6171;LIMA;70955;-12.0537765,-77.022701;JIRÓN JR. CUZCO 925 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
C.S. CONDE DE LA VEGA BAJA;RIS 1;6186;LIMA;39874;-12.039118,-77.05043753;JIRÓN JR. CONDE DE LA VEGA BAJA 488 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
P.S. SANTA ROSA;RIS 1;6190;LIMA;9947;-12.0367519124929,-77.0608254914902;CALLE CALLE CRESPO Y CASTILLO S/N ALTURA CUADRA 11 AV MORALES DUAREZ S/N CALLE CRESPO Y CASTILLO S/N ALTURA CUADRA 11 AV MORALES DUAREZ LIMA LIMA LIMA 
P.S. RESCATE;RIS 1;6188;LIMA;10805;-12.0411673,-77.0623558;JIRÓN JR PRATT S/N AAHH 11 DE OCTUBRE NÚMERO S/N DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
C.S. UNIDAD VECINAL N° 3;RIS 1;6193;LIMA;17686;-12.0512449,-77.0821925;OTROS BLOCK Nº 1 UNIDAD VECINAL Nº 3 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
P.S. PALERMO;RIS 1;6189;LIMA;10759;-12.0410293,-77.0688186;AVENIDA MZ L LOTE 20 AAHH 1° DE SETIEMBRE ALT CUADRA 21 AV MATERIALES DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
C.S. VILLA MARIA PERPETUO SOCORRO;RIS 1;6194;LIMA;15472;-12.0377063589784,-77.0546101626373;JIRÓN JR. VILLA MARIA 745 JR. VILLA MARIA 745 LIMA LIMA LIMA 
P.S. JARDIN ROSA DE SANTA MARIA;RIS 1;6172;LIMA;15727;-12.0438845138013,-77.0109500199137;JIRÓN JR ANCASH 1529 AAHH ROSA DE SANTA MARIA JR ANCASH 1529 AAHH ROSA DE SANTA MARIA LIMA LIMA LIMA 
