id_iglesia;address;name;coordenadas
1316291871;Calle Elvira García y García 2120;Parroquia San Pío X;-12.052221823208598, -77.06791863299296
2023937328;;Parroquia Jesús Nazareno;-12.058870301205587, -77.072221260771
495775886;;Parroquia San José;-12.074718194533785, -77.04828192431013
5141942622;Avenida De las Bellas Artes 300;Parroquia San Josemaría Escrivá de Balaguer;-12.085791340579416, -76.99749059160888
615416668;Avenida San Felipe 1050 Surquillo;Parroquia Jesús Obrero;-12.110437668315498, -77.01630475980181
245447349;Calle Lima 345 Miraflores;Parroquia Virgen Milagrosa;-12.121672389387415, -77.02963007491154
4709086592;;Capilla Sagrada Familia;-11.8797792, -76.9533479
7768354144;;Iglesia Virgen de Guadalupe;-11.8930229, -76.9595625
649341307;;Capilla Cristo de la Paz;-11.9344462, -76.9883645
830931495;;Santa Rosa;-11.9345195, -76.9691982
1109632934;;Capilla San Columbano;-11.9392322, -77.0011947
4354214250;;Iglesia de Dios de la Proficia;-11.9403269, -76.9869826
828315466;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-11.9403627, -76.990263
824763912;;Parroquia Nuestra Señora de la Paz;-11.9404414, -76.97525
1101336373;;Cristo Liberador;-11.9404775, -76.9856064
825695407;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-11.9415639, -76.9801753
961402605;;Iglesia Cristiana Pentecostal 10 de Octubre;-11.9423135, -76.9906686
4354426015;;Jesucristo el Rey de Reyes;-11.9424846, -76.9832277
1155045824;;Capilla de la Vírgen de Fátima;-11.9430961, -76.979652
1098855871;;Capilla Cristo Buen Pastor;-11.9431189, -76.995958
829513172;;Capilla San José Obrero;-11.947705, -76.9765413
973348606;;Santísima Trinidad;-11.9482006, -76.9807002
5264043726;;Salón del Reino de los Testigos de Jehová;-11.9521213, -76.9870698
7852431932;;Parroquia La Buena Nueva;-11.9531351, -76.9843455
829476053;;Capilla San Martín de Porras;-11.9559964, -76.9729976
828311618;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-11.9560673, -77.0016137
11225237163;;Capilla Virgen de Guadalupe;-11.9565881, -76.9765102
288663198;;Capilla Familia de Nazareth;-11.9577949, -76.998001
828314256;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-11.958498, -76.9860459
119441947;;Capilla María de Nazareth;-11.9603347, -76.990644
778342438;;Iglesia de Jesucristo de los Santos de los Últimos Días;-11.9610239, -76.9994727
9533813316;;Movimiento Misionero Mundial Santa María;-11.9639431, -76.978765
11241760519;Avenida Héroes del Cenepa Oeste Lima;San Ignacio de Loyola;-11.9652311, -76.976114
828311064;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-11.9659715, -76.9902932
828308328;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-11.9709415, -77.0014312
831449110;;Capilla Santísima Cruz;-11.9749804, -77.012706
186793693;;Iglesia Inmaculada Concepción;-11.9766296, -77.0069329
437869122;;Capilla Cristo Rey;-11.9766906, -76.9971671
828291152;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-11.9779933, -76.9952211
828290534;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-11.980179, -77.015031
1040722124;;Movimiento Misionero Mundial;-11.9813256, -77.0131292
12597149660;;Iglesia Bíblica Emmanuel;-11.9832091, -77.0178174
9347463875;;Agua Viva;-11.9836955, -77.0143828
4353140559;;Iglesia Alianza Cristiana y Misionera;-11.9839019, -77.0061149
185438417;;Capilla Cristo Vencedor;-11.9841864, -77.0124988
307528003;;Iglesia Biblica Misionera del Perú;-11.9846013, -77.0121468
